group_id,round_num,block_num,target,speaker_id,listener_id,selection,correct
G01,0,0,page-B,0,1,page5-28,False
G01,0,0,page-B,0,2,page9-7,False
G01,1,0,page3-35,0,1,page5-28,False
G01,1,0,page3-35,0,2,page9-46,False
G01,2,0,page7-107,0,1,page4-15,False
G01,2,0,page7-107,0,2,page3-121,False
G01,3,0,page9-46,0,1,page7-107,False
G01,3,0,page9-46,0,2,page7-255,False
G01,4,0,page5-28,0,1,page5-142,False
G01,4,0,page5-28,0,2,page9-7,False
G01,5,0,page7-255,0,1,page3-121,False
G01,5,0,page7-255,0,2,page9-7,False
G01,6,1,page9-46,1,0,page6-149,False
G01,6,1,page9-46,1,2,page-B,False
G01,7,1,page7-255,1,0,page7-255,True
G01,7,1,page7-255,1,2,page6-149,False
G01,8,1,page-B,1,0,page5-28,False
G01,8,1,page-B,1,2,page3-35,False
G01,9,1,page3-35,1,0,page5-28,False
G01,9,1,page3-35,1,2,page5-64,False
G01,10,1,page7-107,1,0,page5-142,False
G01,10,1,page7-107,1,2,page7-255,False
G01,11,1,page5-28,1,0,page9-7,False
G01,11,1,page5-28,1,2,page5-64,False
G01,12,2,page7-255,2,0,page7-255,True
G01,12,2,page7-255,2,1,page5-28,False
G01,13,2,page7-107,2,0,page3-193,False
G01,13,2,page7-107,2,1,page3-121,False
G01,14,2,page3-35,2,0,page7-255,False
G01,14,2,page3-35,2,1,page3-121,False
G01,15,2,page9-46,2,0,page5-28,False
G01,15,2,page9-46,2,1,page9-7,False
G01,16,2,page-B,2,0,page3-121,False
G01,16,2,page-B,2,1,page5-28,False
G01,17,2,page5-28,2,0,page3-35,False
G01,17,2,page5-28,2,1,page7-107,False
G01,18,3,page9-46,0,1,page3-121,False
G01,18,3,page9-46,0,2,page3-121,False
G01,19,3,page3-35,0,1,page5-142,False
G01,19,3,page3-35,0,2,page9-46,False
G01,20,3,page7-255,0,1,page7-255,True
G01,20,3,page7-255,0,2,page7-255,True
G01,21,3,page-B,0,1,page3-121,False
G01,21,3,page-B,0,2,page3-121,False
G01,22,3,page5-28,0,1,page7-26,False
G01,22,3,page5-28,0,2,page3-35,False
G01,23,3,page7-107,0,1,page9-7,False
G01,23,3,page7-107,0,2,page9-7,False
G01,24,4,page9-46,1,0,page9-46,True
G01,24,4,page9-46,1,2,page7-107,False
G01,25,4,page5-28,1,0,page3-193,False
G01,25,4,page5-28,1,2,page9-7,False
G01,26,4,page7-107,1,0,page3-193,False
G01,26,4,page7-107,1,2,page3-193,False
G01,27,4,page3-35,1,0,page-B,False
G01,27,4,page3-35,1,2,page3-193,False
G01,28,4,page-B,1,0,page7-26,False
G01,28,4,page-B,1,2,page3-121,False
G01,29,4,page7-255,1,0,page3-121,False
G01,29,4,page7-255,1,2,page7-255,True
G01,30,5,page9-46,2,0,page3-121,False
G01,30,5,page9-46,2,1,page5-63,False
G01,31,5,page7-255,2,0,page3-121,False
G01,31,5,page7-255,2,1,page5-28,False
G01,32,5,page3-35,2,0,page5-28,False
G01,32,5,page3-35,2,1,page3-121,False
G01,33,5,page-B,2,0,page5-142,False
G01,33,5,page-B,2,1,page4-157,False
G01,34,5,page5-28,2,0,page9-7,False
G01,34,5,page5-28,2,1,page-B,False
G01,35,5,page7-107,2,0,page6-149,False
G01,35,5,page7-107,2,1,page5-63,False
G02,0,0,page5-28,0,1,page3-35,False
G02,0,0,page5-28,0,2,page4-157,False
G02,1,0,page9-46,0,1,page7-255,False
G02,1,0,page9-46,0,2,page3-193,False
G02,2,0,page-B,0,1,page5-142,False
G02,2,0,page-B,0,2,page9-46,False
G02,3,0,page7-255,0,1,page3-193,False
G02,3,0,page7-255,0,2,page7-107,False
G02,4,0,page3-35,0,1,page3-121,False
G02,4,0,page3-35,0,2,page5-28,False
G02,5,0,page7-107,0,1,page5-142,False
G02,5,0,page7-107,0,2,page9-7,False
G02,6,1,page9-46,1,0,page6-149,False
G02,6,1,page9-46,1,2,page7-255,False
G02,7,1,page-B,1,0,page5-64,False
G02,7,1,page-B,1,2,page5-142,False
G02,8,1,page7-255,1,0,page7-107,False
G02,8,1,page7-255,1,2,page5-64,False
G02,9,1,page7-107,1,0,page9-7,False
G02,9,1,page7-107,1,2,page3-193,False
G02,10,1,page3-35,1,0,page7-255,False
G02,10,1,page3-35,1,2,page4-157,False
G02,11,1,page5-28,1,0,page3-121,False
G02,11,1,page5-28,1,2,page3-193,False
G02,12,2,page9-46,2,0,page6-149,False
G02,12,2,page9-46,2,1,page3-35,False
G02,13,2,page-B,2,0,page5-63,False
G02,13,2,page-B,2,1,page9-7,False
G02,14,2,page3-35,2,0,page4-15,False
G02,14,2,page3-35,2,1,page5-63,False
G02,15,2,page7-255,2,0,page5-64,False
G02,15,2,page7-255,2,1,page9-7,False
G02,16,2,page5-28,2,0,page3-35,False
G02,16,2,page5-28,2,1,page5-64,False
G02,17,2,page7-107,2,0,page7-255,False
G02,17,2,page7-107,2,1,page3-121,False
G02,18,3,page3-35,0,1,page4-157,False
G02,18,3,page3-35,0,2,page6-149,False
G02,19,3,page9-46,0,1,page5-63,False
G02,19,3,page9-46,0,2,page5-28,False
G02,20,3,page5-28,0,1,page9-7,False
G02,20,3,page5-28,0,2,page4-157,False
G02,21,3,page-B,0,1,page5-64,False
G02,21,3,page-B,0,2,page3-35,False
G02,22,3,page7-107,0,1,page9-46,False
G02,22,3,page7-107,0,2,page6-149,False
G02,23,3,page7-255,0,1,page5-142,False
G02,23,3,page7-255,0,2,page5-142,False
G02,24,4,page9-46,1,0,page7-26,False
G02,24,4,page9-46,1,2,page9-7,False
G02,25,4,page-B,1,0,page7-255,False
G02,25,4,page-B,1,2,page5-64,False
G02,26,4,page7-107,1,0,page7-107,True
G02,26,4,page7-107,1,2,page4-157,False
G02,27,4,page3-35,1,0,page3-35,True
G02,27,4,page3-35,1,2,page5-63,False
G02,28,4,page5-28,1,0,page5-64,False
G02,28,4,page5-28,1,2,page5-64,False
G02,29,4,page7-255,1,0,page9-7,False
G02,29,4,page7-255,1,2,page7-255,True
G02,30,5,page9-46,2,0,page9-7,False
G02,30,5,page9-46,2,1,page9-7,False
G02,31,5,page7-107,2,0,page7-107,True
G02,31,5,page7-107,2,1,page5-142,False
G02,32,5,page-B,2,0,page5-142,False
G02,32,5,page-B,2,1,page5-63,False
G02,33,5,page3-35,2,0,page6-149,False
G02,33,5,page3-35,2,1,page7-107,False
G02,34,5,page7-255,2,0,page4-157,False
G02,34,5,page7-255,2,1,page9-46,False
G02,35,5,page5-28,2,0,page9-7,False
G02,35,5,page5-28,2,1,page3-193,False
