group_id,round_num,block_num,target,speaker_id,description,word_count,accuracy,n_listeners_correct,n_parse_errors
G01,0,0,page-B,0,"Animal facing left with a diamond-shaped chest, a flat horizontal base, and a pointy tail extending to the right.",19,0.0,0,0
G01,1,0,page7-107,0,"Figure with a diamond chest, a very large pointy triangular arm reaching high up and to the left, and a straight leg extending down and to the right.",28,0.0,0,0
G01,2,0,page7-255,0,"Figure leaning over to the right with a square head at the top right, a sharp point extending horizontally to the far left, and a bottom point facing straight down.",30,0.5,1,0
G01,3,0,page3-35,0,"Figure with a diamond head on the far right side, a sharp triangle pointing straight up in the middle, and a single pointed base extending diagonally down and to the left.",31,0.5,1,0
G01,4,0,page5-28,0,"Figure with a diamond head at the top right, an arm pointing up and left, and two legs spread apart forming an inverted V at the bottom.",27,0.0,0,0
G01,5,0,page9-46,0,"Figure with a square head, a sharp point extending horizontally to the left, a lowest point facing straight down, and a short point extending horizontally to the right.",28,0.0,0,0
G01,6,1,page7-107,1,"Highest point is a large sharp triangle pointing up and to the left. Features a diamond in the center, a small point sticking straight out to the left, and a single thick leg extending diagonally down and to the right.",40,0.5,1,0
G01,7,1,page9-46,1,"Square head at the top right. Has a large horizontal point extending to the left, and a leg pointing straight down. Look closely for its unique feature: a small, sharp point sticking out horizontally to the right, just below the head.",41,1.0,2,0
G01,8,1,page5-28,1,"Diamond head at top right, large arm pointing up-left. Look for a small point sticking horizontally to the right just below the head, and a base with two distinct downward-pointing legs.",31,0.0,0,0
G01,9,1,page-B,1,"Sits completely flat on a horizontal base. Has a diamond center, a large sharp point aiming straight to the left, and a pointy tail extending perfectly horizontally to the right (make sure the tail is parallel to the ground, not angled upwards).",42,1.0,2,0
G01,10,1,page7-255,1,"Square head at top right. Large arm extending to the far left with a perfectly horizontal TOP edge. Single lowest leg pointing straight down with a perfectly vertical LEFT edge. Looks like a figure we did before, but this one has NO small point sticking out horizontally to the right side.",51,1.0,2,0
G01,11,1,page3-35,1,"Diamond on the far right side. The highest point is a large sharp triangle pointing perfectly straight UP. The base is a single thick piece extending diagonally down and to the far left. Crucially, there are NO other legs at the bottom (nothing pointing straight down or to the lower-right).",50,0.5,1,0
G01,12,2,page7-255,2,Square head at top right. Large arm extending to the far left with a perfectly horizontal top edge. Single lowest leg pointing straight down with a perfectly vertical left edge. No small point sticking out on the right side.,39,1.0,2,0
G01,13,2,page9-46,2,Square head at top right. Large arm extending to the far left with a perfectly horizontal top edge. Single lowest leg pointing straight down with a perfectly vertical left edge. Has a small point sticking out horizontally on the right side.,41,1.0,2,0
G01,14,2,page7-107,2,"Diamond in center. Highest point is a large sharp triangle pointing up and to the left. Just below that is a small point sticking perfectly horizontally to the left. Has exactly ONE thick leg at the bottom extending down and to the right, and NO legs on the bottom left.",50,1.0,2,0
G01,15,2,page3-35,2,"Figure with exactly three parts sticking out: a sharp triangle pointing perfectly straight up, a diamond on the far right, and exactly ONE thick leg pointing diagonally down and to the left. No other legs.",35,1.0,2,0
G01,16,2,page5-28,2,"Diamond head at top right. Large arm pointing diagonally up and to the left. Crucially, it has a small point sticking perfectly horizontally to the RIGHT side just below the head. Base has exactly TWO distinct legs pointing down.",39,1.0,2,0
G01,17,2,page-B,2,"Sits completely flat on a horizontal base. Top piece points diagonally up and to the left. Large sharp point on the left aims perfectly straight horizontally. Pointy tail on the right extends perfectly horizontally, not angled.",36,1.0,2,0
G01,18,3,page5-28,0,"Diamond head at top right. Large arm pointing diagonally up and to the left. Crucially, it has a small point sticking perfectly horizontally to the RIGHT side just below the head. Base has exactly TWO distinct legs pointing down.",39,0.5,1,0
G01,19,3,page7-107,0,"Diamond in center. Highest point is a large sharp triangle pointing up and to the left. Just below that is a small point sticking perfectly horizontally to the left. Has exactly ONE thick leg at the bottom extending down and to the right, and NO legs on the bottom left.",50,1.0,2,0
G01,20,3,page3-35,0,"Figure with exactly three parts sticking out: a sharp triangle pointing perfectly straight up, a diamond on the far right, and exactly ONE thick leg pointing diagonally down and to the left. No other legs.",35,1.0,2,0
G01,21,3,page7-255,0,Square head at top right. Large arm extending to the far left with a perfectly horizontal top edge. Single lowest leg pointing straight down with a perfectly vertical left edge. No small point sticking out on the right side.,39,1.0,2,0
G01,22,3,page-B,0,"Sits completely flat on a horizontal base. Top piece points diagonally up and to the left. Large sharp point on the left aims perfectly straight horizontally. Pointy tail on the right extends perfectly horizontally, not angled.",36,1.0,2,0
G01,23,3,page9-46,0,Square head at top right. Large arm extending to the far left with a perfectly horizontal top edge. Single lowest leg pointing straight down with a perfectly vertical left edge. Has a small point sticking out horizontally on the right side.,41,1.0,2,0
G01,24,4,page9-46,1,Square head at top right. Large arm extending to the far left with a perfectly horizontal top edge. Single lowest leg pointing straight down with a perfectly vertical left edge. Has a small point sticking out horizontally on the right side.,41,1.0,2,0
G01,25,4,page7-255,1,Square head at top right. Large arm extending to the far left with a perfectly horizontal top edge. Single lowest leg pointing straight down with a perfectly vertical left edge. No small point sticking out on the right side.,39,1.0,2,0
G01,26,4,page7-107,1,"Diamond in center. Highest point is a large sharp triangle pointing up and to the left. Just below that is a small point sticking perfectly horizontally to the left. Has exactly ONE thick leg at the bottom extending down and to the right, and NO legs on the bottom left.",50,1.0,2,0
G01,27,4,page-B,1,"Sits completely flat on a horizontal base. Top piece points diagonally up and to the left. Large sharp point on the left aims perfectly straight horizontally. Pointy tail on the right extends perfectly horizontally, not angled.",36,1.0,2,0
G01,28,4,page5-28,1,"Diamond head at top right. Large arm points diagonally up-left. Middle has a LARGE point extending horizontally to the LEFT, and a SMALL point extending horizontally to the RIGHT. Base has exactly TWO distinct downward legs.",36,0.0,0,0
G01,29,4,page3-35,1,"Figure with exactly three parts sticking out: a sharp triangle pointing perfectly straight up, a diamond on the far right, and exactly ONE thick leg pointing diagonally down and to the left. No other legs.",35,0.5,1,0
G01,30,5,page9-46,2,Square head at top right. Large arm extending to the far left with a perfectly horizontal top edge. Single lowest leg pointing straight down with a perfectly vertical left edge. Has a small point sticking out horizontally on the right side.,41,0.5,1,0
G01,31,5,page7-107,2,"Diamond in center. Highest point is a large sharp triangle pointing up and to the left. Just below that is a small point sticking perfectly horizontally to the left. Has exactly ONE thick leg at the bottom extending down and to the right, and NO legs on the bottom left.",50,0.5,1,0
G01,32,5,page5-28,2,"Check 3 things: 1) Head at top right is a DIAMOND (pointy top, not a flat horizontal edge). 2) Look closely: it HAS a small point sticking out horizontally on the RIGHT side. 3) Bottom has exactly TWO downward legs forming an inverted V (does not sit completely flat).",49,0.5,1,0
G01,33,5,page7-255,2,"Square head at top right (flat top edge). Large arm extending to the far left with a perfectly horizontal top edge. Single lowest leg pointing straight down with a perfectly vertical left edge. Crucially, there is NO small point sticking out horizontally on the right side.",46,0.5,1,0
G01,34,5,page3-35,2,"Exactly three parts sticking out: 1) A sharp triangle pointing perfectly straight up. 2) A diamond on the far right. 3) Exactly ONE thick leg pointing diagonally down and to the left. Crucially, there is NO part pointing straight down.",40,1.0,2,0
G01,35,5,page-B,2,"Sits completely flat on a horizontal base. Top piece points diagonally up and to the left. Large sharp point on the left aims perfectly straight horizontally. Pointy tail on the right extends perfectly horizontally, not angled.",36,0.5,1,0
G02,0,0,page-B,0,"Person leaning far forward to the right, looks like a runner or speed skater.",14,0.0,0,0
G02,1,0,page3-35,0,"Person kneeling and bowing down to the right, like they are praying.",12,0.0,0,0
G02,2,0,page7-107,0,"Person facing left, hunched over carrying a large diamond-shaped backpack.",10,0.0,0,0
G02,3,0,page7-255,0,"Figure sitting down facing left, with a long pointy leg extending flat to the left and a solid square shape on the top right.",24,0.0,0,0
G02,4,0,page9-46,0,"Figure balancing on the single bottom point of a downward-facing triangle, with a straight rectangular leg extending horizontally to the left, and the upper body leaning to the top-right.",29,0.0,0,0
G02,5,0,page5-28,0,"Figure facing right, square head at the top left, looks like someone kneeling with arms stretching straight out to form a sharp horizontal point on the right.",27,0.0,0,0
G02,6,1,page3-35,1,"Diamond head on the top left. The right side of the figure is a large, sharp triangle pointing horizontally to the right. Directly below the head, a smaller sharp point extends down and to the left.",36,0.0,0,0
G02,7,1,page7-107,1,"Large diamond shape forming the entire top right section, making it the highest point. A small square head is positioned lower down on the middle left. A sharp triangular arm points horizontally out to the far left.",37,0.0,0,0
G02,8,1,page9-46,1,Square head at the top right. The entire figure balances on a single downward-facing sharp point at the bottom. A straight limb extends horizontally to the far left.,28,0.0,0,0
G02,9,1,page5-28,1,Diamond head (tilted square) at top-left. A sharp arm extends perfectly horizontally to the far right. The lowest part is a single sharp point aiming straight down. The left tip of the diamond is the leftmost point of the entire image; nothing sticks out to the left below the head.,50,0.0,0,0
G02,10,1,page7-255,1,"The entire bottom edge rests perfectly flat horizontally on the ground, extending far out into a sharp horizontal point on the far left. The highest point of the whole image is a distinctly separate, small diamond-shaped head at the top-right.",40,0.0,0,0
G02,11,1,page-B,1,"Diamond head top-left. Balances entirely on a single sharp downward-pointing tip at the very bottom. The entire upper back is a long, perfectly straight diagonal edge sloping down to a sharp point on the far right.",36,0.0,0,0
G02,12,2,page5-28,2,Touches the ground only with a single sharp downward point (no flat base). The head is a diamond at the top-left. A sharp arm extends perfectly horizontally to the right. The left corner of the head is the absolute leftmost point of the entire figure; absolutely nothing sticks out to the left below the head.,55,0.0,0,0
G02,13,2,page3-35,2,Diamond head at the top-left. A large sharp point sticks out straight horizontally to the far right. A separate smaller sharp point sticks out diagonally down-and-left from the base. Resembles someone kneeling and bowing forward to the right.,38,0.5,1,0
G02,14,2,page7-255,2,"Looks like a person sitting facing left with straight legs. Perfectly flat horizontal bottom edge ending in a sharp point on the far left. The absolute highest point is a tilted DIAMOND head at the top right. Unlike similar figures, it has NO sharp arm pointing to the right.",49,0.0,0,0
G02,15,2,page9-46,2,"Balances entirely on a single sharp bottom point. Has a diamond head at the top-right. A thick, straight limb extends perfectly horizontally to the far left, ending in a blunt, flat vertical edge (not a point).",36,0.0,0,0
G02,16,2,page7-107,2,"Perfectly flat horizontal bottom edge. The absolute highest part of the figure is a large diamond shape on the top right. On the middle left side, there is a small unrotated square sticking out, with a sharp point extending horizontally to the far left directly below it.",47,0.5,1,0
G02,17,2,page-B,2,"Head is a DIAMOND at the top-left. Balances entirely on a single sharp downward point (no flat base). The entire upper-right edge is a long, perfectly straight diagonal line sloping down to a sharp point on the far right. It also has a smaller sharp point sticking out diagonally down-and-left.",50,1.0,2,0
G02,18,3,page3-35,0,Head is a diamond at the top-left. Rests on a perfectly FLAT horizontal base. A large sharp point extends straight horizontally to the far right. A smaller sharp point sticks out diagonally down-and-left from the lower-left side.,37,0.0,0,0
G02,19,3,page-B,0,"Head is a DIAMOND at the top-left. Balances entirely on a single sharp downward point (no flat base). The entire upper-right edge is a long, perfectly straight diagonal line sloping down to a sharp point on the far right. It also has a smaller sharp point sticking out diagonally down-and-left.",50,1.0,2,0
G02,20,3,page9-46,0,"Head is an unrotated SQUARE at the top-right. Balances entirely on a single sharp downward point (no flat base). The limb extending horizontally to the far left ends in a blunt, flat vertical edge, NOT a sharp point.",38,0.0,0,0
G02,21,3,page7-255,0,Head is an unrotated SQUARE at the top-right. Rests entirely on a perfectly FLAT horizontal base. The far left side extends into a sharp horizontal point resting flat on the ground.,31,0.5,1,0
G02,22,3,page5-28,0,"Head is a DIAMOND at the top-left. Balances entirely on a SINGLE SHARP DOWNWARD POINT at the bottom (NO flat base). A sharp arm points horizontally to the right. Crucially, UNLIKE similar figures, NO points stick out to the left anywhere below the head.",44,1.0,2,0
G02,23,3,page7-107,0,"Rests on a perfectly FLAT horizontal base. The ABSOLUTE HIGHEST part of the entire figure is a large DIAMOND shape on the top-right. Sticking out on the middle-left is a small unrotated SQUARE, with a sharp horizontal point extending to the far left directly below it.",46,0.5,1,0
G02,24,4,page7-107,1,"Rests on a perfectly flat horizontal base. The absolute highest part is a large diamond shape on the top-right. The key difference from similar figures: sticking out on the middle-left is a small UNROTATED SQUARE (it has a flat top, flat bottom, and vertical sides, NOT a tilted diamond). A sharp point extends to the far left directly below this square.",61,0.0,0,0
G02,25,4,page3-35,1,"Head is a DIAMOND at top-LEFT. Rests on a perfectly FLAT horizontal base. CRUCIAL DETAILS: the large horizontal right-pointing tip is RAISED above the ground (does not touch the bottom line), AND a distinct small sharp point sticks out diagonally DOWN-AND-LEFT from the lower-left body. Resembles someone kneeling and bowing right.",51,0.0,0,0
G02,26,4,page5-28,1,"Head is a DIAMOND at the top-left. Balances entirely on a SINGLE SHARP DOWNWARD POINT at the bottom (NO flat base). A sharp arm points horizontally to the right. Crucially, UNLIKE similar figures, NO points stick out to the left anywhere below the head.",44,1.0,2,0
G02,27,4,page-B,1,"Head is a DIAMOND at the top-left. Balances entirely on a single sharp downward point (no flat base). The entire upper-right edge is a long, perfectly straight diagonal line sloping down to a sharp point on the far right. It also has a smaller sharp point sticking out diagonally down-and-left.",50,0.5,1,0
G02,28,4,page9-46,1,"Head is an UNROTATED SQUARE (flat top) at the top-right. Balances entirely on ONE SINGLE SHARP DOWNWARD POINT at the very bottom (no flat base). The thick arm pointing horizontally to the far left ends in a blunt, FLAT VERTICAL EDGE (not a sharp point).",45,0.0,0,0
G02,29,4,page7-255,1,"Head at the very top-right is strictly a small UNROTATED SQUARE with flat horizontal top and bottom edges (NOT a tilted diamond). Rests entirely on a perfectly FLAT horizontal base that extends into a sharp point on the far left, touching the ground.",43,0.5,1,0
G02,30,5,page-B,2,"Head is a DIAMOND at the top-left. Balances entirely on a single sharp downward point (no flat base). The entire upper-right edge is a long, perfectly straight diagonal line sloping down to a sharp point on the far right. It also has a smaller sharp point sticking out diagonally down-and-left.",50,1.0,2,0
G02,31,5,page7-255,2,"Head at the top-right is a small UNROTATED SQUARE (flat top and bottom, NOT a tilted diamond). Rests entirely on a perfectly FLAT horizontal base that extends far to the left, ending in a sharp horizontal point that touches the ground.",41,0.5,1,0
G02,32,5,page7-107,2,"Rests on a perfectly FLAT horizontal base. The large DIAMOND is at the top-RIGHT. Crucially, there are NO arms pointing to the right. On the LEFT side of the figure, there is a small UNROTATED SQUARE, and directly below it, a sharp point extends horizontally to the far LEFT.",49,1.0,2,0
G02,33,5,page9-46,2,"Head at the top-right is a SQUARE with a flat horizontal top edge (NOT a diamond). Balances entirely on a SINGLE SHARP DOWNWARD POINT at the bottom (it does NOT rest flat on the ground). The arm pointing horizontally to the far LEFT ends in a perfectly FLAT VERTICAL EDGE, NOT a sharp point.",54,0.5,1,0
G02,34,5,page3-35,2,"Head is a DIAMOND at the top-LEFT. Rests entirely on a perfectly FLAT horizontal base. Crucially, the far LEFT end of this flat base forms a sharp point aiming straight LEFT along the ground. A large sharp arm points horizontally to the RIGHT.",43,0.0,0,0
