group_id,player_id,listener_accuracy,passes_threshold,n_players_passing,group_passes
G01,0,0.6667,True,3,True
G01,1,0.75,True,3,True
G01,2,0.8333,True,3,True
G02,0,0.4167,False,1,False
G02,1,0.75,True,1,False
G02,2,0.3333,False,1,False
G03,0,1.0,True,3,True
G03,1,0.8333,True,3,True
G03,2,1.0,True,3,True
G04,0,0.8333,True,3,True
G04,1,0.9167,True,3,True
G04,2,0.75,True,3,True
G05,0,0.75,True,3,True
G05,1,0.6667,True,3,True
G05,2,0.75,True,3,True
G06,0,0.8333,True,2,True
G06,1,0.8333,True,2,True
G06,2,0.5833,False,2,True
G07,0,0.75,True,3,True
G07,1,1.0,True,3,True
G07,2,1.0,True,3,True
G08,0,0.8333,True,1,False
G08,1,0.4167,False,1,False
G08,2,0.5833,False,1,False
G09,0,0.9167,True,3,True
G09,1,0.9167,True,3,True
G09,2,0.9167,True,3,True
G10,0,0.75,True,2,True
G10,1,0.5833,False,2,True
G10,2,0.8333,True,2,True
G11,0,0.9167,True,2,True
G11,1,0.5833,False,2,True
G11,2,0.75,True,2,True
G12,0,0.75,True,3,True
G12,1,0.6667,True,3,True
G12,2,0.75,True,3,True
G13,0,0.8333,True,3,True
G13,1,0.75,True,3,True
G13,2,1.0,True,3,True
G14,0,0.75,True,2,True
G14,1,0.9167,True,2,True
G14,2,0.4167,False,2,True
G15,0,0.75,True,3,True
G15,1,1.0,True,3,True
G15,2,0.9167,True,3,True
G16,0,0.5,False,1,False
G16,1,0.8333,True,1,False
G16,2,0.4167,False,1,False
G17,0,0.5833,False,1,False
G17,1,0.5,False,1,False
G17,2,0.75,True,1,False
G18,0,0.6667,True,3,True
G18,1,0.9167,True,3,True
G18,2,0.6667,True,3,True
G19,0,0.75,True,3,True
G19,1,0.75,True,3,True
G19,2,0.75,True,3,True
G20,0,0.5833,False,1,False
G20,1,0.75,True,1,False
G20,2,0.5833,False,1,False
